Mx, My, Mz, Gx, Gy, Gz, Roll, Pitch, Yaw
-23.000000, -35.000000, 0.000000, 0.000000, 12.000000, 250.000000, 2.748088, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-24.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 124
-24.000000, -34.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 124
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-22.000000, -35.000000, -2.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-22.000000, -34.000000, -1.000000, 0.000000, 9.000000, 250.000000, 2.061758, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 251.000000, 2.281494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 251.000000, 2.281494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 124
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 248.000000, 2.309063, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 248.000000, 2.309063, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-22.000000, -34.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-22.000000, -34.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-22.000000, -34.000000, -1.000000, 0.000000, 9.000000, 250.000000, 2.061758, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 9.000000, 250.000000, 2.061758, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 9.000000, 251.000000, 2.053550, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 9.000000, 251.000000, 2.053550, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 251.000000, 2.281494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 251.000000, 2.281494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 251.000000, 2.509365, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 251.000000, 2.509365, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 251.000000, 2.281494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 9.000000, 249.000000, 2.070031, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, 0.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -34.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 123
-22.000000, -34.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 12.000000, 250.000000, 2.748088, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 12.000000, 251.000000, 2.737156, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 251.000000, 2.509365, -0.000000, 122
-21.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-21.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-21.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 121
-21.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-22.000000, -35.000000, -1.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-22.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 121
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 122
-23.000000, -35.000000, -1.000000, 0.000000, 9.000000, 250.000000, 2.061758, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -34.000000, -1.000000, 0.000000, 10.000000, 249.000000, 2.299799, -0.000000, 123
-23.000000, -35.000000, -1.000000, 0.000000, 11.000000, 249.000000, 2.529494, -0.000000, 123
-23.000000, -35.000000, -2.000000, 0.000000, 12.000000, 250.000000, 2.748088, -0.000000, 123
-22.000000, -35.000000, -2.000000, 0.000000, 11.000000, 250.000000, 2.519389, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 12.000000, 250.000000, 2.748088, -0.000000, 122
-22.000000, -35.000000, -2.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
-22.000000, -35.000000, -1.000000, 0.000000, 10.000000, 250.000000, 2.290610, -0.000000, 122
